species,latinFamily,subfamily,tribe_genus,genes,sex,ID,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC39,NA,NA,2.899,NA,1.961,0.816,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC100,NA,NA,3.101,NA,1.506,0.589,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC43,NA,NA,3.12,NA,1.158,0.622,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC28,NA,NA,3.607,NA,1.46,0.517,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC73,NA,NA,3.761,NA,2.643,1.084,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC117,NA,NA,3.447,NA,1.998,0.823,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC118,NA,NA,3.855,NA,2.072,0.978,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC30,NA,NA,3.117,NA,1.715,0.651,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC114,NA,NA,3.045,NA,1.5,0.888,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC102,NA,NA,3.115,NA,1.322,0.572,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC62,NA,NA,3.891,NA,2.472,1.093,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC41,NA,NA,3.034,NA,1.194,0.418,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC71,NA,NA,3.694,NA,2.304,1.047,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC72,NA,NA,3.587,NA,1.482,0.692,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC35,NA,NA,3.78,NA,2.03,0.983,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC37,NA,NA,3.647,NA,2.216,1.018,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC38,NA,NA,2.802,NA,1.6,0.804,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC82,NA,NA,3.343,NA,1.594,0.823,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC53,NA,NA,2.921,NA,1.464,0.793,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC143,NA,NA,3.827,NA,2.41,1.257,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC131,NA,NA,3.69,NA,2.816,1.32,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC44,NA,NA,2.798,NA,1.443,0.719,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC104,NA,NA,3.198,NA,1.332,0.161,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC105,NA,NA,3.704,NA,2.388,1.136,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC106,NA,NA,3.567,NA,1.981,0.877,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC107,NA,NA,3.719,NA,1.875,0.784,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC60,NA,NA,3.768,NA,2.296,1.248,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC61,NA,NA,3.613,NA,1.939,0.779,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC11,NA,NA,3.094,NA,1.003,0.408,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC110,NA,NA,3.775,NA,2.09,0.949,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC26,NA,NA,3.718,NA,1.755,0.898,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC65,NA,NA,3.379,NA,2.198,1.104,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC115,NA,NA,3.379,NA,1.932,0.989,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC116,NA,NA,3.605,NA,2.102,0.977,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC133,NA,NA,3.597,NA,1.839,0.684,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC134,NA,NA,3.95,NA,1.579,0.809,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC119,NA,NA,2.785,NA,1.566,0.64,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC12,NA,NA,3.427,NA,1.738,NA,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC123,NA,NA,3.331,NA,1.988,0.988,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC124,NA,NA,2.978,NA,1.746,0.819,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC125,NA,NA,3.196,NA,1.589,0.948,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC83,NA,NA,3.557,NA,1.668,0.828,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC84,NA,NA,3.566,NA,1.531,0.82,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC132,NA,NA,3.805,NA,2.314,1.208,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC146,NA,NA,3.663,NA,2.115,1.213,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC17,NA,NA,2.772,NA,0.92,0.591,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC135,NA,NA,3.792,NA,2.356,1.258,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC136,NA,NA,4.053,NA,2.583,1.144,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC138,NA,NA,3.856,NA,2.434,1.337,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC14,NA,NA,2.764,NA,1.288,0.669,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC140,NA,NA,3.855,NA,2.186,0.988,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC141,NA,NA,3.582,NA,1.842,0.936,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC142,NA,NA,3.83,NA,2.2,1.342,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC27,NA,NA,3.605,NA,1.765,0.955,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC145,NA,NA,3.682,NA,2.249,1.33,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC85,NA,NA,3.718,NA,1.387,0.753,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC20,NA,NA,3.719,NA,1.71,0.87,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC21,NA,NA,3.114,NA,1.19,0.677,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC23,NA,NA,3.058,NA,1.362,NA,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC79,NA,NA,3.242,NA,1.506,NA,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC64,NA,NA,3.337,NA,1.701,0.702,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC112,NA,NA,NA,NA,1.945,0.984,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC113,NA,NA,3.368,NA,1.835,0.974,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC130,NA,NA,3.399,NA,2.216,0.98,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC56,NA,NA,2.86,NA,1.575,0.681,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC87,NA,NA,3.633,NA,1.73,0.922,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC75,NA,NA,3.596,NA,1.885,1.028,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC76,NA,NA,2.873,NA,1.223,0.611,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC77,NA,NA,2.812,NA,1.874,0.83,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC78,NA,NA,2.838,NA,1.695,NA,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC52,NA,NA,2.847,NA,1.627,0.758,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC97,NA,NA,3.668,NA,1.73,0.849,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC54,NA,NA,3.367,NA,1.825,1,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC98,NA,NA,3.082,NA,1.449,0.705,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC99,NA,NA,2.911,NA,1.221,0.615,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC47,NA,NA,3.746,NA,2.146,0.893,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC49,NA,NA,2.966,NA,1.563,0.776,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC93,NA,NA,NA,NA,2.304,0.822,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC111,NA,NA,3.244,NA,1.736,0.935,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC95,NA,NA,3.806,NA,1.707,0.945,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC109,NA,NA,3.659,NA,1.998,1.032,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC103,NA,NA,3.036,NA,1.675,0.877,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC90,NA,NA,3.628,NA,1.813,0.684,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC91,NA,NA,3.304,NA,1.587,0.824,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC108,NA,NA,3.544,NA,1.974,0.936,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC94,NA,NA,3.73,NA,2.388,0.802,Germany
Osmia_latreillei,Megachilidae,Megachilinae,Osmiini,no,F,id_105/2,NA,NA,2.863,NA,0.842,0.491,Spain
Osmia_latreillei,Megachilidae,Megachilinae,Osmiini,no,F,id_100/3,NA,NA,2.76,NA,1.315,0.601,Spain
Osmia_leaiana,Megachilidae,Megachilinae,Osmiini,yes,F,id_100/2,NA,NA,2.896,NA,1.285,0.547,Spain
Osmia_leaiana,Megachilidae,Megachilinae,Osmiini,yes,F,id_105/3,NA,NA,2.635,NA,0.92,0.303,Spain
Osmia_submicans,Megachilidae,Megachilinae,Osmiini,yes,F,id_142/2,NA,NA,2.055,NA,0.65,0.308,Spain
Osmia_submicans,Megachilidae,Megachilinae,Osmiini,yes,F,id_152/1,NA,NA,2.044,NA,0.672,0.238,Spain
Osmia_submicans,Megachilidae,Megachilinae,Osmiini,yes,F,id_142/4,NA,NA,2.138,NA,0.43,NA,Spain
Panurgus_banksianus,Andrenidae,Panurginae,Panurgini,yes,F,id_F38,NA,NA,2.379,NA,1.63,1.545,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,M,id_B32,0.0193,0.003,1.822,NA,0.69,0.316,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,M,id_B25,0.0102,0.0024,1.573,NA,0.55,0.309,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,F,id_B19,0.01,0.0023,1.404,NA,0.47,0.135,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,M,id_B23,0.0155,0.0038,1.963,NA,0.53,0.26,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,M,id_B30,0.0184,0.0031,1.831,NA,0.53,NA,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,M,id_B33,0.0115,0.001,1.733,NA,0.48,NA,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,F,id_B20,0.0108,0.0018,1.337,NA,0.43,0.137,Spain
Panurgus_calcaratus,Andrenidae,Panurginae,Panurgini,yes,F,id_B34,0.011,0.002,1.508,NA,0.56,0.163,Spain
Panurgus_dargius,Andrenidae,Panurginae,Panurgini,yes,M,id_B47,0.0089,0.0012,1.558,NA,0.33,0.19,Spain
Panurgus_dargius,Andrenidae,Panurginae,Panurgini,yes,M,id_B48,0.0208,0.0032,1.851,NA,0.68,NA,Spain
Rhodanthidium_sticticum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_A38,0.1333,0.0164,3.823,NA,3.42,0.95,Spain
Rhodanthidium_sticticum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_B22,0.0899,0.00117,3.272,NA,2.55,0.94,Spain
Rhodanthidium_sticticum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_B5,NA,NA,3.412,NA,2.35,0.878,Spain
Stelis_breviuscula,Megachilidae,Megachilinae,Anthidiini,yes,F,id_88/1,NA,NA,2.091,NA,0.416,0.351,Spain
Stelis_breviuscula,Megachilidae,Megachilinae,Anthidiini,yes,F,id_99/1,NA,NA,1.949,NA,0.348,NA,Spain
Stelis_breviuscula,Megachilidae,Megachilinae,Anthidiini,yes,M,id_126/1,NA,NA,1.857,NA,0.566,0.226,Spain
Systropha_planidens,Halictidae,Rophitinae,Rophitinae,yes,F,id_C6,0.0441,NA,2.405,NA,0.92,0.713,Spain
Xylocopa_cantabrita,Apidae,Xylocopinae,Xylocopini,yes,F,id_A32,0.2286,NA,4.999,NA,4.2,1.303,Spain
Xylocopa_cantabrita,Apidae,Xylocopinae,Xylocopini,yes,F,id_B50,0.3612,0.046,5.938,NA,6.66,NA,Spain
Xylocopa_cantabrita,Apidae,Xylocopinae,Xylocopini,yes,F,id_B56,0.3394,0.0445,5.439,NA,4.43,1.629,Spain
Xylocopa_cantabrita,Apidae,Xylocopinae,Xylocopini,yes,M,id_B27,0.3302,0.0465,5.198,NA,5.09,1.45,Spain
Xylocopa_cantabrita,Apidae,Xylocopinae,Xylocopini,yes,F,id_B59,0.3244,0.0477,5.136,NA,4.58,1.248,Spain
Xylocopa_valga,Apidae,Xylocopinae,Xylocopini,yes,F,id_A33,0.4849,0.075,6.455,NA,7.43,2.113,Spain
Xylocopa_valga,Apidae,Xylocopinae,Xylocopini,yes,F,id_B63,0.7588,0.0944,7.593,NA,7.43,2.069,Spain
Xylocopa_violacea,Apidae,Xylocopinae,Xylocopini,yes,F,id_B93,NA,NA,5.997,NA,5.666,2.171,Spain
Xylocopa_violacea,Apidae,Xylocopinae,Xylocopini,yes,M,id_F27,0.4828,0.0452,6.549,NA,6.09,1.92,Spain
Xylocopa_violacea,Apidae,Xylocopinae,Xylocopini,yes,F,id_B95,NA,NA,6.065,NA,6.022,2.31,Spain
Xylocopa_violacea,Apidae,Xylocopinae,Xylocopini,yes,F,id_B92,NA,NA,6.187,NA,6.303,2.376,Spain
Xylocopa_violacea,Apidae,Xylocopinae,Xylocopini,yes,F,id_B94,NA,NA,6.131,NA,5.513,2.044,Spain
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_27,0.601,NA,5.464,4.8,5.1,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_122,0.3924,NA,5.293,4.4,NA,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,US155,NA,NA,5.207,NA,5.787,NA,US_MA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_61,0.391,NA,5.114,4.3,4.8,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_135,0.3851,NA,5.464,4.2,NA,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,M,id_117,0.3502,NA,5.821,3.9,NA,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,M,id_83,0.51,NA,6,5,5.5,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_74,0.47,NA,5.557,5,5.6,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,US156,NA,NA,6.5405,NA,6.613,NA,US_MA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_67,0.395,NA,5.379,4.5,5.2,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,F,id_82,0.443,NA,5.643,4.8,5.3,NA,USA
Xylocopa_virginica,Apidae,Xylocopinae,Xylocopini,yes,M,id_87,0.436,NA,6.086,4.2,5.6,NA,USA
