Species,IT,Brain.weight,Country,Max_val,Min_val
Osmia submicans,2.044,0.672,Spain,0.8425,0.35850000000000004
Osmia submicans,2.138,0.43,Spain,0.8425,0.35850000000000004
Panurgus banksianus,2.379,1.63,Spain,1.63,1.63
Panurgus calcaratus,1.404,0.47,Spain,0.6125,0.35249999999999987
Panurgus calcaratus,1.337,0.43,Spain,0.6125,0.35249999999999987
Panurgus calcaratus,1.508,0.56,Spain,0.6125,0.35249999999999987
Rhodanthidium sticticum,3.272,2.55,Spain,2.55,2.55
Stelis breviuscula,2.091,0.416,Spain,0.45000000000000007,0.31399999999999995
Stelis breviuscula,1.949,0.348,Spain,0.45000000000000007,0.31399999999999995
Systropha planidens,2.405,0.92,Spain,0.92,0.92
Xylocopa cantabrita,4.999,4.2,Spain,6.19125,3.2812499999999996
Xylocopa cantabrita,5.439,4.43,Spain,6.19125,3.2812499999999996
Xylocopa cantabrita,5.136,4.58,Spain,6.19125,3.2812499999999996
Xylocopa valga,6.455,7.43,Spain,7.43,7.43
Xylocopa valga,7.593,7.43,Spain,7.43,7.43
Xylocopa violacea,5.997,5.666,Spain,6.7890000000000015,4.931000000000001
Xylocopa violacea,6.065,6.022,Spain,6.7890000000000015,4.931000000000001
Xylocopa violacea,6.187,6.303,Spain,6.7890000000000015,4.931000000000001
Xylocopa violacea,6.131,5.513,Spain,6.7890000000000015,4.931000000000001
Xylocopa virginica,5.464,5.1,USA,6.50875,4.3347500000000005
Xylocopa virginica,5.207,5.787,US_MA,6.50875,4.3347500000000005
Xylocopa virginica,5.114,4.8,USA,6.50875,4.3347500000000005
Xylocopa virginica,5.557,5.6,USA,6.50875,4.3347500000000005
Xylocopa virginica,5.379,5.2,USA,6.50875,4.3347500000000005
Xylocopa virginica,5.643,5.3,USA,6.50875,4.3347500000000005
Osmia lateralis,2.622,1.73,Spain,1.73,1.73
Augochlorella aurata,1.4605,0.353,USA,0.686,0.06999999999999995
Osmia lignaria,3.3655,0.933,USA,1.6544999999999999,0.6925000000000001
Osmia pumila,1.9685,0.652,USA,0.7,0.5080000000000002
Osmia cornifrons,2.794,0.676,USA,0.676,0.676
Andrena milwaukeensis,2.0955,1.005,USA,1.0074999999999998,0.9975
Andrena vicina,2.8575,1.467,USA,1.767,1.2870000000000004
Andrena vicina,2.9845,1.587,USA,1.767,1.2870000000000004
Andrena vicina,2.9845,1.578,USA,1.767,1.2870000000000004
Osmia lignaria,3.556,1.414,USA,1.6544999999999999,0.6925000000000001
Sphecodes ranunculi,1.651,0.364,USA,0.364,0.364
Chelostoma philadephi,1.2065,0.253,USA,0.253,0.253
Colletes thoracicus,3.429,1.533,USA,1.65525,1.3932499999999997
Colletes thoracicus,3.048,1.45,USA,1.65525,1.3932499999999997
Colletes thoracicus,3.3655,1.581,USA,1.65525,1.3932499999999997
Osmia pumila,1.651,0.556,USA,0.7,0.5080000000000002
Augochlorella aurata,1.524,0.3,USA,0.686,0.06999999999999995
Andrena milwaukeensis,2.4765,1,USA,1.0074999999999998,0.9975
Andrena wilkella,2.4765,1.13,USA,1.3250000000000002,0.9089999999999998
Andrena wilkella,2.3495,1,USA,1.3250000000000002,0.9089999999999998
Andrena wilkella,2.4765,1.208,USA,1.3250000000000002,0.9089999999999998
Calliopsis andreniformis,1.5875,0.28,USA,0.535,0.19499999999999998
Calliopsis andreniformis,1.4605,0.45,USA,0.535,0.19499999999999998
Osmia atriventris,2.032,0.447,USA,0.447,0.447
Andrena vicina,2.4765,1.609,USA,1.767,1.2870000000000004
Augochloropsis metallica,1.778,0.656,USA,0.82025,0.56225
Augochlorella aurata,1.397,0.301,USA,0.686,0.06999999999999995
Andrena vicina,2.413,1.334,USA,1.767,1.2870000000000004
Augochlorella aurata,1.397,0.455,USA,0.686,0.06999999999999995
Bombus griseocollis,4.0005,3.086,USA,4.14025,1.9822500000000003
Agapostemon virescens,1.3335,1.25,USA,1.343,1.2190000000000003
Bombus griseocollis,5.08,3.576,USA,4.14025,1.9822500000000003
Bombus griseocollis,3.81,2.497,USA,4.14025,1.9822500000000003
Ceratina strenua,0.889,0.153,USA,0.153,0.153
Megachile texana,3.1115,2.351,USA,2.351,2.351
Augochloropsis metallica,2.0955,0.662,USA,0.82025,0.56225
Augochloropsis metallica,2.032,0.785,USA,0.82025,0.56225
Andrena hirticincta,2.4765,0.906,USA,1.692,0.6439999999999999
Andrena hirticincta,2.8575,1.43,USA,1.692,0.6439999999999999
Agapostemon virescens,2.0955,1.312,USA,1.343,1.2190000000000003
Megachile apicalis,2.4765,0.97,USA,0.97,0.97
Agapostemon sericeus,2.032,0.844,USA,0.8604999999999998,0.8385
Andrena angustior,1.868,0.433,Spain,0.49500000000000005,0.3309999999999999
Andrena angustior,1.755,0.352,Spain,0.49500000000000005,0.3309999999999999
Andrena angustior,1.769,0.434,Spain,0.49500000000000005,0.3309999999999999
Andrena cinerea,1.909,0.456,Spain,0.456,0.456
Andrena pilipes,2.928,1.532,Spain,2.3956250000000003,0.6446249999999999
Andrena pilipes,2.74,1.22,Spain,2.3956250000000003,0.6446249999999999
Andrena pilipes,3.033,2.119,Spain,2.3956250000000003,0.6446249999999999
Andrena pilipes,2.663,1.47,Spain,2.3956250000000003,0.6446249999999999
Andrena pilipes,2.974,1.808,Spain,2.3956250000000003,0.6446249999999999
Andrena pilipes,3.198,1.245,Spain,2.3956250000000003,0.6446249999999999
Andrena rhyssonota,1.9,0.423,Spain,0.5933750000000001,0.30637499999999995
Andrena rhyssonota,1.71,0.411,Spain,0.5933750000000001,0.30637499999999995
Andrena rhyssonota,1.995,0.498,Spain,0.5933750000000001,0.30637499999999995
Andrena rhyssonota,1.85,0.408,Spain,0.5933750000000001,0.30637499999999995
Andrena rhyssonota,2.1,0.449,Spain,0.5933750000000001,0.30637499999999995
Anthophora dispar,3.842,4.532,Spain,4.532,4.532
Eucera rufa,3.816,2.139,Spain,2.139,2.139
Lasioglossum malachurum,1.641,0.43,Spain,0.5820000000000001,0.278
