ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
N26/2,NA,NA,NA,Carambolo,,2.817,NA,NA,,NA,NA,Spain,Born from coccon. not captured
Parásito,NA,NA,NA,Sevilla,,2.557,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/8,Osmia,Osmia bicornis,Male,Sevilla,,2.578,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/2,Osmia,Osmia bicornis,Male,Sevilla,,2.592,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/3,Osmia,Osmia bicornis,Male,Sevilla,,2.507,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/6,Osmia,Osmia bicornis,Male,Sevilla,,2.506,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/9,Osmia,Osmia bicornis,Male,Sevilla,,2.44,NA,NA,,NA,NA,Spain,Born from coccon. not captured
114/7,Osmia,Osmia bicornis,Male,Sevilla,,2.575,NA,NA,,NA,NA,Spain,Born from coccon. not captured
89/2,Osmia,Osmia bicornis,Male,Sevilla,,2.269,NA,NA,,NA,NA,Spain,Born from coccon. not captured
OC1,Osmia,Osmia cornuta,Female,Mauerbienen,,3.791,NA,NA,,NA,NA,Germany,
OC2,Osmia,Osmia cornuta,Female,Mauerbienen,,3.645,NA,NA,,NA,NA,Germany,
OC3,Osmia,Osmia cornuta,Female,Mauerbienen,,3.655,NA,NA,,NA,NA,Germany,
OC4,Osmia,Osmia cornuta,Female,Mauerbienen,,3.576,NA,NA,,NA,NA,Germany,
OC5,Osmia,Osmia cornuta,Female,Mauerbienen,,3.687,NA,NA,,NA,NA,Germany,
OC6,Osmia,Osmia cornuta,Female,Mauerbienen,,3.433,NA,NA,,NA,NA,Germany,
OC7,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC8,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC9,Osmia,Osmia cornuta,Female,Mauerbienen,,3.521,NA,NA,,NA,NA,Germany,
OC10,Osmia,Osmia cornuta,Female,Mauerbienen,,3.949,NA,NA,,NA,NA,Germany,
OC11,Osmia,Osmia cornuta,Male,Mauerbienen,,3.094,NA,NA,,1.003,0.408,Germany,
OC12,Osmia,Osmia cornuta,Female,Mauerbienen,,3.427,NA,NA,,1.738,NA,Germany,
OC13,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC14,Osmia,Osmia cornuta,Male,Mauerbienen,,2.764,NA,NA,,1.288,0.669,Germany,
OC15,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC16,Osmia,Osmia cornuta,Male,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC17,Osmia,Osmia cornuta,Male,Mauerbienen,,2.772,NA,NA,,0.92,0.591,Germany,
OC18,Osmia,Osmia cornuta,Male,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC19,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC20,Osmia,Osmia cornuta,Female,Mauerbienen,,3.719,NA,NA,,1.71,0.87,Germany,
OC21,Osmia,Osmia cornuta,Male,Mauerbienen,,3.114,NA,NA,,1.19,0.677,Germany,
OC22,Osmia,Osmia cornuta,Female,Mauerbienen,,3.821,NA,NA,,NA,NA,Germany,
OC23,Osmia,Osmia cornuta,Male,Mauerbienen,,3.058,NA,NA,,1.362,NA,Germany,
OC24,Osmia,Osmia cornuta,Female,Mauerbienen,,3.556,NA,NA,,NA,NA,Germany,
OC25,Osmia,Osmia cornuta,Female,Mauerbienen,,3.828,NA,NA,,1.803,0.854,Germany,
OC26,Osmia,Osmia cornuta,Female,Mauerbienen,,3.718,NA,NA,,1.755,0.898,Germany,
OC27,Osmia,Osmia cornuta,Female,Mauerbienen,,3.605,NA,NA,,1.765,0.955,Germany,
OC28,Osmia,Osmia cornuta,Female,Mauerbienen,,3.607,NA,NA,,1.46,0.517,Germany,
OC29,Osmia,Osmia cornuta,Male,Mauerbienen,,3.314,NA,NA,,NA,NA,Germany,
OC30,Osmia,Osmia cornuta,Female,Mauerbienen,,3.117,NA,NA,,1.715,0.651,Germany,
OC31,Osmia,Osmia cornuta,Female,Mauerbienen,,3.974,NA,NA,,1.321,0.7,Germany,
OC32,Osmia,Osmia cornuta,Male,Mauerbienen,,3.366,NA,NA,,1.356,0.734,Germany,
OC33,Osmia,Osmia cornuta,Female,Mauerbienen,,3.641,NA,NA,,NA,NA,Germany,
OC34,Osmia,Osmia cornuta,Female,Mauerbienen,,4.177,NA,NA,,NA,NA,Germany,
OC35,Osmia,Osmia cornuta,Female,Mauerbienen,,3.78,NA,NA,,2.03,0.983,Germany,
OC36,Osmia,Osmia cornuta,Male,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC37,Osmia,Osmia cornuta,Female,Mauerbienen,,3.647,NA,NA,,2.216,1.018,Germany,
OC38,Osmia,Osmia cornuta,Male,Mauerbienen,,2.802,NA,NA,,1.6,0.804,Germany,
OC39,Osmia,Osmia cornuta,Male,Mauerbienen,,2.899,NA,NA,,1.961,0.816,Germany,
OC40,Osmia,Osmia cornuta,Male,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC41,Osmia,Osmia cornuta,Male,Mauerbienen,,3.034,NA,NA,,1.194,0.418,Germany,
OC42,Osmia,Osmia cornuta,Male,Mauerbienen,,2.616,NA,NA,,1.269,0.777,Germany,
OC43,Osmia,Osmia cornuta,Male,Mauerbienen,,3.12,NA,NA,,1.158,0.622,Germany,
OC44,Osmia,Osmia cornuta,Male,Mauerbienen,,2.798,NA,NA,,1.443,0.719,Germany,
OC45,Osmia,Osmia cornuta,Female,Mauerbienen,,3.657,NA,NA,,NA,NA,Germany,
OC46,Osmia,Osmia cornuta,Female,Mauerbienen,,3.679,NA,NA,,NA,NA,Germany,
OC47,Osmia,Osmia cornuta,Female,Mauerbienen,,3.746,NA,NA,,2.146,0.893,Germany,
OC48,Osmia,Osmia cornuta,Female,Mauerbienen,,3.215,NA,NA,,NA,NA,Germany,
OC49,Osmia,Osmia cornuta,Male,Mauerbienen,,2.966,NA,NA,,1.563,0.776,Germany,
OC50,Osmia,Osmia cornuta,Male,Mauerbienen,,2.84,NA,NA,,NA,0.739,Germany,
OC51,Osmia,Osmia cornuta,Male,Mauerbienen,,3.006,NA,NA,,NA,NA,Germany,
OC52,Osmia,Osmia cornuta,Male,Mauerbienen,,2.847,NA,NA,,1.627,0.758,Germany,
OC53,Osmia,Osmia cornuta,Male,Mauerbienen,,2.921,NA,NA,,1.464,0.793,Germany,
OC54,Osmia,Osmia cornuta,Male,Mauerbienen,,3.367,NA,NA,,1.825,1,Germany,
OC55,Osmia,Osmia cornuta,Male,Mauerbienen,,2.901,NA,NA,,NA,NA,Germany,
OC56,Osmia,Osmia cornuta,Male,Mauerbienen,,2.86,NA,NA,,1.575,0.681,Germany,
OC57,Osmia,Osmia cornuta,Female,Mauerbienen,,3.633,NA,NA,,NA,NA,Germany,
