"","Species","Brain.weight","IT","residuals","Habitat","Preference"
"254","Megachile_centuncularis",1.3815,3.329875,-0.229872078164104,"Agricultural",0
"255","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Agricultural",0.0107
"256","Megachile_willughbiella",1.966,3.694,-0.0721906823285321,"Agricultural",0
"257","Nomada_succincta",1.34,2.057,0.645441524477969,"Agricultural",0
"258","Osmia_caerulescens",0.704421052631579,2.13989473684211,-0.0719022023481536,"Agricultural",0
"259","Osmia_cornuta",1.79939325842697,3.41074157303371,-0.0107151103724384,"Agricultural",0
"260","Osmia_leaiana",1.1025,2.7655,-0.106226553940582,"Agricultural",0
"261","Panurgus_banksianus",1.63,2.379,0.567866845029763,"Agricultural",0
"262","Panurgus_calcaratus",0.53,1.646375,0.136631073043337,"Agricultural",0
"263","Stelis_breviuscula",0.443333333333333,1.96566666666667,-0.37525419439881,"Agricultural",0
"264","Xylocopa_violacea",6.77766666666667,5.91111111111111,0.281370158761188,"Agricultural",0
"265","Agapostemon_sericeus",0.8495,2.25425,0.0174690305643134,"Agricultural",0.9848
"266","Agapostemon_virescens",1.281,1.7145,0.942904127578453,"Agricultural",1
"267","Andrena_carlini",1.558,3.10233333333333,0.0234637091740494,"Agricultural",0.9998
"268","Andrena_crataegi",0.798333333333333,1.9685,0.210241463618517,"Agricultural",0.9999
"269","Andrena_dunningi",1.2845,2.555875,0.194796987076897,"Agricultural",0.2242
"270","Andrena_hirticincta",1.168,2.667,0.0196867104499441,"Agricultural",0.9371
"271","Andrena_milwaukeensis",1.0025,2.286,0.156772032346542,"Agricultural",0.0177
"272","Andrena_miserabilis",0.4545,2.055,-0.433956168411443,"Agricultural",0.5401
"273","Andrena_nasonii",0.3305,1.27,0.152463064732593,"Agricultural",0.9997
"274","Andrena_nubecula",0.4155,1.3335,0.289588808150405,"Agricultural",0.0029
"275","Andrena_pruni",0.6605,1.762125,0.22898100579616,"Agricultural",2e-04
"276","Andrena_rugosa",0.515333333333333,1.54516666666667,0.227875078616756,"Agricultural",0.8146
"277","Andrena_vicina",1.56025,2.82575,0.200509822978708,"Agricultural",1
"278","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Agricultural",1
"279","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Agricultural",0
"280","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Agricultural",0.7156
"281","Augochlora_pura",0.586,1.9381,-0.0696972949217295,"Agricultural",1
"282","Augochlorella_aurata",0.35225,1.444625,-0.026073472214891,"Agricultural",1
"283","Augochloropsis_metallica",0.701,1.9685,0.080223129476201,"Agricultural",1
"284","Bombus_griseocollis",3.053,4.29683333333333,0.0836598128458149,"Agricultural",0.0014
"285","Bombus_impatiens",2.59366666666667,4.14205555555556,-0.0104038040406887,"Agricultural",0
"286","Bombus_ternarius",1.987,3.1115,0.261138463509543,"Agricultural",1
"287","Bombus_vagans",1.179,2.794,-0.0584207353429976,"Agricultural",1
"288","Calliopsis_andreniformis",0.365,1.524,-0.0911030789744605,"Agricultural",0.9983
"289","Ceratina_calcarata",0.332,1.70616666666667,-0.398194712563026,"Agricultural",1
"290","Ceratina_strenua",0.153,0.889,0.0530238095245676,"Agricultural",0.9999
"291","Colletes_thoracicus",1.52133333333333,3.28083333333333,-0.105553144039858,"Agricultural",0.0088
"292","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Agricultural",1
"293","Halictus_ligatus",0.689,2.49885714285714,-0.38566018050853,"Agricultural",0.8969
"294","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Agricultural",0.9992
"295","Hylaeus_mesillae",0.34,1.76,-0.432801372462269,"Agricultural",1
"296","Hylaeus_modestus",0.31,2.08,-0.839320952911581,"Agricultural",0.021
"297","Lasioglossum_coriaceum",0.742,1.905,0.198725954331003,"Agricultural",0.9997
"298","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Agricultural",0.9928
"299","Megachile_campanulae",0.822,2.286,-0.0417397317780023,"Agricultural",0.9801
"300","Megachile_mendica",1.803,2.8575,0.324104240089709,"Agricultural",1
"301","Megachile_pugnata",3,6.43,-0.691877599285036,"Agricultural",0.7216
"302","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Agricultural",0.8679
"303","Megachile_sculpturalis",3.854,4.7625,0.123153057065378,"Agricultural",0
"304","Nomada_cressonii",1.76,3.34,0.00656257079853171,"Agricultural",0.5794
"305","Nomada_luteoloides",1.7,3.53,-0.132165880072828,"Agricultural",0
"306","Osmia_atriventris",0.447,2.032,-0.429429790459283,"Agricultural",0.0282
"307","Osmia_bucephala",1.421,3.048,-0.0353519512529819,"Agricultural",0.5016
"308","Osmia_cornifrons",0.877,2.746375,-0.322005225808179,"Agricultural",0
"309","Osmia_lignaria",1.1735,3.46075,-0.465545783902124,"Agricultural",0.0463
"310","Osmia_pumila",0.604,1.80975,0.0894082728542806,"Agricultural",0.679
"311","Ptilothrix_bombiformis",2.129,3.3655,0.182598517858549,"Agricultural",1
"312","Xylocopa_virginica",5.3,7.84857142857143,-0.497675151353017,"Agricultural",0
"313","Andrena_angustior",0.406333333333333,1.79733333333333,-0.294045495522293,"Natural",0.0992
"314","Andrena_barbilabris",0.983,2.28,0.142071194081394,"Natural",0
"315","Andrena_bicolor",0.7025,2.205,-0.130993473787811,"Natural",0
"316","Andrena_carantonica",1.8105,2.775,0.383347353774812,"Natural",0
"317","Andrena_chrysosceles",0.831,1.8525,0.364559004456993,"Natural",0
"318","Andrena_cineraria",1.6334,2.724,0.315290221971901,"Natural",0
"319","Andrena_dorsata",0.7176,2.262,-0.157720599563025,"Natural",0
"320","Andrena_flavipes",1.17966666666667,2.57211111111111,0.0977512911768199,"Natural",0
"321","Andrena_fucata",0.701,2.66,-0.485911365135228,"Natural",0.9989
"322","Andrena_fulva",1.59133333333333,2.76,0.264509013876433,"Natural",0
