Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference
Bombus_terrestris,3.052811320754717,4.228792452830189,1.1160629105834547,1.4419164801590942,0.11373761294316424,Urban,1
Dasypoda_hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-1.0847130869991723,Urban,0
Halictus_confusus,0.41840000000000005,1.7855,-0.8713173662314238,0.5796984880523661,-0.25247697593101603,Urban,0
Halictus_quadricinctus,1.55,2.895,0.4382549309311553,1.0629851110249586,0.14840668590218434,Urban,0
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,-0.04440431243856233,Urban,0
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,-0.4210864890111212,0.6374582746993567,0.08915238158997874,Urban,0
Lasioglossum_fulvicorne,0.3,1.26,-1.2039728043259361,0.23111172096338664,0.07028989361390363,Urban,0
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.5218333477457681,Urban,0
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,-0.8561891226219436,0.36093253419137367,0.1739809561514442,Urban,0
Lasioglossum_punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.3418169699114996,Urban,0
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712,-0.2599224698175295,Urban,0
Lasioglossum_sexstrigatum,0.231,1.26,-1.4653375684603434,0.23111172096338664,-0.1910748705205036,Urban,0.9342
Lasioglossum_zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.2650218718106402,Urban,0
Megachile_centuncularis,1.3815,3.329875,0.32316986538133413,1.2029347657502638,-0.22981552171243436,Urban,0.992
Megachile_rotundata,1.391,3.1667,0.33002291294130587,1.1526900361987737,-0.1284909689247534,Urban,1
Megachile_willughbiella,1.966,3.694,0.6760010217249748,1.3067098817770482,-0.07210515721590091,Urban,0.1844
Nomada_succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.6453636189945346,Urban,0
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.35037901548191763,0.7607566394324319,-0.07196907922729129,Urban,1
Osmia_cornuta,1.7993932584269663,3.410741573033708,0.5874495294266552,1.226929737750093,-0.010651855761949684,Urban,1
Osmia_leaiana,1.1025,2.7655,0.09758032833886404,1.0172214504525956,-0.106221839069755,Urban,0.9981
Panurgus_banksianus,1.63,2.379,0.4885800148186709,0.8666802313208206,0.5678295365552557,Urban,0.0017
Panurgus_calcaratus,0.53,1.646375,-0.6348782724359695,0.49857590133707347,0.13649100882215232,Urban,0
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.8134333464344473,0.6758314583502574,-0.3753447780091186,Urban,0.8146
Xylocopa_violacea,6.777666666666667,5.911111111111111,1.913632893260095,1.7768338190113793,0.2815869182339356,Urban,1
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.29416107055854673,Agricultural,0.7616
Andrena_barbilabris,0.983,2.28,-0.017146158834970514,0.8241754429663494,0.14202202046184825,Agricultural,0.0058
Andrena_bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.13105198434571966,Agricultural,1
Andrena_carantonica,1.8105,2.775,0.5936030502235589,1.0206507471983979,0.38335302592844933,Agricultural,1
Andrena_chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.36445186863426293,Agricultural,1
Andrena_cineraria,1.6334,2.7239999999999998,0.4906637319420382,1.0021013882872658,0.3152907161010761,Agricultural,0.9975
Andrena_dorsata,0.7176,2.262,-0.33184296823755066,0.8162493776939287,-0.15777198573126675,Agricultural,1
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.16523191269521662,0.9447270057187496,0.09773576933704065,Agricultural,1
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.4859175078341459,Agricultural,0.1243
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.2645131730267331,Agricultural,0.0146
Andrena_gravida,1.59425,2.635,0.46640340621324394,0.9688831819933256,0.35348816410429373,Agricultural,1
Andrena_haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.18796713627393408,Agricultural,1
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.3466755125506959,Agricultural,1
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.14761031682681594,Agricultural,1
Andrena_nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.447381707238778,Agricultural,1
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.29258295105149196,0.9907795838648943,-0.4466684026996948,Agricultural,0.9992
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.3764775712349122,1.0669250323983401,0.07922137902531727,Agricultural,0.0129
Andrena_semilaevis,0.277,1.575,-1.2837377727947985,0.4542552722775964,-0.42903564096183305,Agricultural,1
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-1.0690534864265653,0.6133822120910828,-0.5135461489660841,Agricultural,1
Andrena_tibialis,1.6475,3.27,0.49925898739452523,1.184789984909162,-0.01961008992133653,Agricultural,0.1307
Andrena_wilkella,1.0102499999999999,2.286,0.010197824976445877,0.8268035653726189,0.16442453714110475,Agricultural,1
Anthidium_manicatum,2.3458,3.6718,0.8526264951052677,1.3006820050439682,0.11585409372443574,Agricultural,0
